Country,City,Cloudiness (%),Humidity (%),Max Temperature,Latitude (Deg),Longitude (Deg),Wind Speed (mph),Description
BR,cidreira,6,70,70.59,-30.1811,-50.2056,8.88,clear sky
US,emmett,100,64,42.49,43.8735,-116.4993,7,overcast clouds
US,jamestown,90,91,58.32,42.097,-79.2353,15.99,overcast clouds
IN,sarahan,100,29,31.62,31.5167,77.8,12.33,overcast clouds
PT,ponta do sol,55,76,65.01,32.6667,-17.1,5.55,broken clouds
AR,mar del plata,20,90,69.82,-38.0023,-57.5575,24,few clouds
US,wahiawa,20,70,77.79,21.5028,-158.0236,16.11,few clouds
PF,rikitea,90,75,75.94,-23.1203,-134.9692,16.53,overcast clouds
ZA,port alfred,100,89,69.85,-33.5906,26.891,6.67,light rain
ZA,kruisfontein,100,68,63.88,-34.0033,24.7314,2.64,overcast clouds
US,san patricio,98,29,65.08,28.017,-97.5169,18.9,overcast clouds
CO,simiti,56,53,91.04,7.9579,-73.9436,1.97,broken clouds
US,kapaa,75,74,80.58,22.0752,-159.319,5.01,broken clouds
ZA,port elizabeth,100,79,66.09,-33.918,25.5701,5.66,overcast clouds
RU,nikolskoye,100,88,26.49,59.7035,30.7861,9.71,overcast clouds
AR,ushuaia,75,51,60.46,-54.8,-68.3,4.61,broken clouds
NC,noumea,95,99,85.98,-22.2763,166.4572,3.31,overcast clouds
CL,taltal,7,67,65.88,-25.4,-70.4833,7.18,clear sky
RU,yurino,32,95,2.52,56.2942,46.3039,4.61,scattered clouds
AU,alyangula,13,100,71.47,-13.8483,136.4192,0,few clouds
TL,airai,98,89,61.63,-8.9266,125.4092,0.81,overcast clouds
NZ,tuatapere,9,51,54.82,-46.1333,167.6833,5.75,clear sky
RU,severo-kurilsk,100,97,33.06,50.6789,156.125,17.56,snow
CA,yellowknife,75,91,2.41,62.456,-114.3525,16.11,light snow
CV,sao filipe,95,70,75.81,14.8961,-24.4956,7.92,overcast clouds
RU,uinskoye,100,92,8.87,56.8817,56.5813,6.2,overcast clouds
RU,khandyga,86,100,-34.08,62.6667,135.6,2.51,overcast clouds
US,westport,90,96,62.29,41.1415,-73.3579,1.01,overcast clouds
NZ,mataura,41,48,54.48,-46.1927,168.8643,3.2,scattered clouds
IS,grindavik,75,87,43.27,63.8424,-22.4338,21.85,broken clouds
SJ,longyearbyen,75,64,28.24,78.2186,15.6401,11.5,broken clouds
VE,carupano,100,87,78.13,10.6678,-63.2585,6.73,overcast clouds
AU,new norfolk,17,62,54.91,-42.7826,147.0587,2.19,few clouds
UA,kobyzhcha,100,89,44.51,50.8285,31.5044,13.91,overcast clouds
US,lompoc,1,52,67.78,34.6391,-120.4579,6.91,clear sky
MV,hithadhoo,31,79,80.73,-0.6,73.0833,7.2,scattered clouds
ZA,hermanus,88,76,62.91,-34.4187,19.2345,10.33,overcast clouds
KI,butaritari,100,74,82.58,3.0707,172.7902,17.07,overcast clouds
IN,honavar,96,63,80.91,14.2833,74.45,3.98,overcast clouds
US,fairbanks,90,77,-0.9,64.8378,-147.7164,1.01,light snow
AR,san vicente,99,44,79.48,-26.6167,-54.1333,0.72,light rain
UY,chuy,2,65,69.55,-33.6971,-53.4616,10.47,clear sky
CN,suicheng,100,83,47.52,33.8963,117.9331,3.76,overcast clouds
CN,yichun,100,95,16.39,47.7,128.9,3.53,light snow
AU,karratha,45,25,90.66,-20.7377,116.8463,17.92,scattered clouds
NA,luderitz,0,84,61.03,-26.6481,15.1594,12.33,clear sky
AU,kununurra,95,83,80.58,-15.7667,128.7333,1.14,overcast clouds
AU,mount gambier,14,77,57.11,-37.8333,140.7667,10.36,few clouds
US,pullman,90,81,44.91,46.7313,-117.1796,5.99,overcast clouds
AU,hobart,75,67,55.26,-42.8794,147.3294,5.75,broken clouds
CD,yangambi,100,90,73.11,0.8102,24.4336,2.37,overcast clouds
NZ,bluff,60,57,54.81,-46.6,168.3333,5.17,broken clouds
CA,smithers,75,74,28.72,54.7804,-127.1743,4.61,broken clouds
CL,ancud,49,80,53.13,-41.8697,-73.8203,20.02,light rain
CL,punta arenas,40,51,59.11,-53.15,-70.9167,8.05,scattered clouds
NZ,greymouth,100,80,58.57,-42.4667,171.2,11.45,light rain
GL,narsaq,100,85,21.42,60.9167,-46.05,2.68,overcast clouds
CD,bukama,72,86,70.45,-9.2,25.85,3.02,broken clouds
ID,tayu,100,90,77.27,-6.5397,111.0518,5.08,overcast clouds
IR,qom,0,57,49.57,34.6401,50.8764,1.01,clear sky
ID,padang,96,87,75.25,-0.9492,100.3543,4.43,overcast clouds
AU,port lincoln,11,63,67.55,-34.7333,135.8667,9.44,few clouds
BR,grao mogol,73,93,69.94,-16.5594,-42.8897,3.15,broken clouds
LV,ilukste,100,98,34.65,55.9775,26.2966,7.23,light rain
SB,buala,100,79,82.89,-8.145,159.5921,6.51,light rain
US,hilo,90,53,78.12,19.7297,-155.09,6.91,light rain
PF,faanui,11,72,80.82,-16.4833,-151.75,11.5,few clouds
GL,upernavik,100,92,3.15,72.7868,-56.1549,9.93,overcast clouds
RU,izhma,100,78,18.64,65.0083,53.9113,10.18,overcast clouds
JP,naze,0,62,62.62,28.3667,129.4833,4.18,clear sky
MX,ixtapa,40,69,79.83,20.7,-105.2,11.5,scattered clouds
BR,imbituba,100,83,76.89,-28.24,-48.6703,7.09,overcast clouds
US,broome,90,76,59.58,42.2506,-75.833,3,overcast clouds
ID,curup,100,99,68.31,-3.4667,102.5333,1.66,overcast clouds
RU,saskylakh,99,100,-40.72,71.9167,114.0833,2.06,overcast clouds
IS,hofn,100,87,42.53,64.2539,-15.2082,23.15,overcast clouds
RU,irbit,7,96,7.23,57.6705,63.071,3.98,clear sky
RU,nizhniy kuranakh,92,98,-17.95,58.8353,125.4869,3.42,overcast clouds
CA,iqaluit,40,69,-11.31,63.7506,-68.5145,4,scattered clouds
ZA,cape town,20,80,64.09,-33.9258,18.4232,8.05,few clouds
US,bethel,100,92,60.31,41.3712,-73.414,3,overcast clouds
RE,saint-philippe,86,81,74.79,-21.3585,55.7679,11.43,light rain
PT,lata,18,95,53.35,40.1629,-8.3327,2.53,few clouds
PG,kokopo,87,79,79.88,-4.352,152.2633,3.8,overcast clouds
ID,bengkulu,99,93,74.98,-3.8004,102.2655,5.26,overcast clouds
AU,yulara,90,25,75.04,-25.2406,130.9889,8.05,overcast clouds
BR,sao geraldo do araguaia,86,88,79.66,-6.4006,-48.555,2.15,overcast clouds
ID,tual,100,75,84.07,-5.6667,132.75,13.82,overcast clouds
FR,saint-francois,75,92,32.68,46.4154,3.9054,2.3,fog
RU,lavrentiya,12,85,-14.73,65.5833,-171,8.25,few clouds
MX,guerrero negro,0,43,69.28,27.9769,-114.0611,5.5,clear sky
AU,busselton,63,82,56.08,-33.65,115.3333,14.09,broken clouds
US,hamilton,90,69,40.44,39.1834,-84.5333,3,overcast clouds
TH,phangnga,12,91,73.44,8.4509,98.5298,4.59,few clouds
US,albany,100,91,61.81,42.6001,-73.9662,10.63,overcast clouds
AU,port keats,57,73,83.5,-14.25,129.55,4.63,broken clouds
TO,vaini,40,83,82.56,-21.2,-175.2,4.61,scattered clouds
ID,barabai,97,98,73.87,-2.5833,115.3833,2.59,overcast clouds
IN,puri,38,77,70.32,19.8,85.85,8.81,scattered clouds
KZ,atasu,98,86,15.66,48.6814,71.6433,4.5,overcast clouds
US,palmer,100,85,59.41,42.1584,-72.3287,5.99,overcast clouds
CA,lac du bonnet,49,81,23.59,50.2536,-96.0612,8.59,scattered clouds
EC,puerto ayora,100,87,76.96,-0.7393,-90.3518,8.32,overcast clouds
RU,ossora,100,96,3.18,59.2353,163.0719,8.79,overcast clouds
US,oro valley,0,38,68.09,32.3909,-110.9665,1.99,clear sky
MY,pekan,91,90,75.31,3.4836,103.3996,8.03,overcast clouds
BR,caravelas,23,86,76.32,-17.7125,-39.2481,5.91,few clouds
RU,pevek,85,100,-32.93,69.7008,170.3133,6.13,overcast clouds
NZ,hokitika,100,77,57.85,-42.7167,170.9667,7.87,overcast clouds
US,portland,90,93,49.86,45.5234,-122.6762,4,moderate rain
MX,cabo san lucas,1,63,79.9,22.8909,-109.9124,5.99,clear sky
BR,castro,100,49,76.37,-24.7911,-50.0119,4.97,overcast clouds
RU,dikson,100,82,-15.07,73.5069,80.5464,6.2,overcast clouds
CA,campbell river,90,97,43.45,50.0163,-125.2446,1.99,overcast clouds
CL,iquique,89,70,69.84,-20.2208,-70.1431,7.4,overcast clouds
GL,qaanaaq,13,64,-3.26,77.484,-69.3632,7.27,few clouds
ZA,bredasdorp,50,69,59.29,-34.5322,20.0403,3.36,scattered clouds
MZ,beira,20,78,82.49,-19.8436,34.8389,12.66,few clouds
RU,zeya,100,80,6.13,53.75,127.2667,4.14,overcast clouds
IN,chikhli,11,57,64.78,20.35,76.25,5.59,few clouds
NO,trofors,77,95,36.75,65.5333,13.4063,4.92,broken clouds
RU,deputatskiy,99,100,-25.56,69.3,139.9,1.83,overcast clouds
PF,atuona,62,72,79.12,-9.8,-139.0333,18.16,broken clouds
PL,piotrkow trybunalski,61,10,29.1,51.4055,19.7032,4.68,broken clouds
ID,meulaboh,83,92,76.12,4.1363,96.1285,4.29,broken clouds
US,kodiak,90,57,18.28,57.79,-152.4072,18.41,overcast clouds
RU,khatanga,59,100,-43.4,71.9667,102.5,4.45,broken clouds
RU,provideniya,1,79,-8.57,64.3833,-173.3,9.13,clear sky
GB,brae,96,85,48.11,60.3964,-1.353,19.89,overcast clouds
US,barrow,90,71,-0.38,71.2906,-156.7887,11.5,overcast clouds
ET,ginir,1,39,55.51,7.1333,40.7,5.32,clear sky
CK,avarua,20,74,80.65,-21.2078,-159.775,16.11,light rain
AU,geraldton,90,72,64.81,-28.7667,114.6,9.22,overcast clouds
AU,ballina,90,86,68.18,-28.8667,153.5667,6.91,overcast clouds
MU,souillac,40,83,78.37,-20.5167,57.5167,11.5,scattered clouds
PT,barcelos,8,90,53.92,41.5388,-8.6151,4.45,clear sky
UG,katete,100,91,62.73,-0.7818,29.7544,3.11,light rain
CN,youhao,100,95,18.05,47.8667,128.8333,3.65,light snow
PE,huarmey,34,76,71.44,-10.0681,-78.1522,11.56,scattered clouds
JP,hasaki,57,64,39.6,35.7333,140.8333,9.06,broken clouds
PG,kavieng,98,80,82.74,-2.5744,150.7967,8.66,moderate rain
KZ,sergeyevka,100,91,7.18,53.88,67.4158,8.43,overcast clouds
ID,nabire,100,91,76.39,-3.3667,135.4833,2.84,overcast clouds
NU,alofi,94,65,82.29,-19.0595,-169.9187,4.61,light rain
IN,dindori,0,38,49.96,22.95,81.0833,2.71,clear sky
MU,grand gaube,85,71,78.39,-20.0064,57.6608,10,overcast clouds
BY,svetlogorsk,100,91,37.9,52.6333,29.7333,11.68,overcast clouds
IR,birjand,0,37,32.47,32.8663,59.2211,9.22,clear sky
AU,bundaberg,5,72,79.21,-24.85,152.35,5.99,clear sky
PG,lorengau,100,84,81.75,-2.0226,147.2712,16.17,moderate rain
CN,dongsheng,4,72,14.22,39.8161,109.9776,6.53,clear sky
PH,dingle,40,94,75.24,10.9995,122.6711,8.16,scattered clouds
US,fortuna,75,74,48.92,40.5982,-124.1573,4,light rain
VU,isangel,75,84,84.31,-19.55,169.2667,5.75,broken clouds
CA,la ronge,90,79,17.85,55.1001,-105.2842,6.91,overcast clouds
TR,gorele,99,53,53.04,41.0308,39.0031,7.23,overcast clouds
IN,kavaratti,7,72,80.94,10.5669,72.642,8.01,clear sky
ZA,east london,99,83,70.95,-33.0153,27.9116,7.4,overcast clouds
EC,naranjal,100,88,78.6,-2.6667,-79.6167,2.53,light rain
GF,cayenne,75,89,80.1,4.9333,-52.3333,8.99,broken clouds
RU,chokurdakh,79,100,-48.26,70.6333,147.9167,2.42,broken clouds
CL,talcahuano,20,55,64.08,-36.7167,-73.1167,12.66,few clouds
KZ,shetpe,92,85,33.42,44.1667,52.1167,9.55,overcast clouds
CA,pangnirtung,7,86,-12.98,66.1451,-65.7125,3.58,clear sky
PH,dicabisagan,100,87,75.87,17.0818,122.4157,9.1,overcast clouds
US,avera,100,67,75.07,33.194,-82.5271,16.22,overcast clouds
AU,esperance,38,76,53.44,-33.8667,121.9,11.32,scattered clouds
MY,georgetown,20,81,79.9,5.4112,100.3354,2.3,few clouds
GH,axim,50,84,80.06,4.8699,-2.2405,8.3,scattered clouds
PG,daru,98,90,77.13,-9.0763,143.2092,7.54,overcast clouds
FR,octeville,90,100,52.29,49.6261,-1.6435,14.97,overcast clouds
CA,saint-augustin,80,56,24.51,51.226,-58.6502,6.62,broken clouds
US,goose creek,40,71,79.09,32.981,-80.0326,5.01,scattered clouds
CN,liusha,100,91,42.76,27.2098,108.59,4.25,overcast clouds
MN,hovd,0,69,3.4,48.0056,91.6419,3.53,clear sky
JP,kamaishi,100,77,44.1,39.2667,141.8833,6.35,overcast clouds
AR,rawson,40,41,75.49,-43.3002,-65.1023,17.27,scattered clouds
RE,saint-joseph,85,80,73.78,-21.3667,55.6167,8.14,light rain
PT,ribeira grande,75,82,66.6,38.5167,-28.7,26.46,broken clouds
AO,luanda,42,88,77.54,-8.8368,13.2343,4.43,moderate rain
NZ,kaitangata,64,49,54.93,-46.2817,169.8464,2.33,broken clouds
GB,belfast,100,94,48.38,54.5833,-5.9333,8.05,overcast clouds
ES,bereda,75,94,51.55,43.2686,-7.5406,1.34,broken clouds
NE,arlit,84,8,69.44,18.7369,7.3853,6.78,broken clouds
NO,vardo,53,81,28.72,70.3705,31.1107,14.76,broken clouds
BR,trairi,61,74,81.21,-3.2778,-39.2689,11.79,broken clouds
CN,tongzi,100,83,49.51,28.7829,105.0877,5.86,overcast clouds
AU,burnie,2,53,57.94,-41.0667,145.9167,13.62,clear sky
BR,rio grande,8,67,77.11,-32.035,-52.0986,11.79,clear sky
AU,mildura,5,37,69.08,-34.2,142.15,3.44,clear sky
PT,aljezur,10,82,57.81,37.3191,-8.8033,6.6,clear sky
JP,nago,9,58,62.67,26.5881,127.9761,6.58,clear sky
VN,phan thiet,93,83,73.22,10.9333,108.1,4.41,overcast clouds
RU,yar-sale,78,100,-5.57,66.8333,70.8333,3.91,broken clouds
TR,sivas,0,75,36.23,39.7916,37.0019,12.66,clear sky
ML,taoudenni,96,17,69.51,22.6783,-3.9836,10.94,overcast clouds
GL,tasiilaq,100,63,39.36,65.6145,-37.6368,37.85,overcast clouds
EC,macas,20,54,82.15,-2.3167,-78.1167,6.91,light rain
MZ,montepuez,41,79,70.47,-13.1256,38.9997,7.65,scattered clouds
GL,nanortalik,100,80,27.19,60.1432,-45.2371,24.94,overcast clouds
RU,andra,82,99,-0.78,62.5147,65.8878,3.74,broken clouds
CA,thompson,1,71,-3.84,55.7435,-97.8558,4.61,clear sky
RO,asau,100,86,42.4,46.4333,26.4,4.27,overcast clouds
CL,coihaique,75,51,61.41,-45.5752,-72.0662,5.75,broken clouds
CI,korhogo,96,20,78.96,9.45,-5.6333,3.31,overcast clouds
BJ,porto novo,76,78,82.22,6.4965,2.6036,7.11,broken clouds
BR,palotina,98,24,92.25,-24.2839,-53.84,6.11,overcast clouds
PE,ilo,29,73,71.04,-17.6394,-71.3375,11.43,scattered clouds
MR,atar,32,11,73.13,20.5169,-13.0499,9.01,scattered clouds
GB,newport,100,92,55.08,51.5877,-2.9984,13.56,overcast clouds
MM,myitkyina,10,88,59.47,25.3833,97.4,2.71,clear sky
MU,mahebourg,40,83,78.26,-20.4081,57.7,11.5,scattered clouds
GL,ilulissat,100,67,15.82,69.2167,-51.1,4.61,overcast clouds
SO,bandarbeyla,36,80,77,9.4942,50.8122,22.48,light rain
IL,gat,68,42,66.4,31.61,34.7642,2.57,broken clouds
RU,chara,76,74,-20.47,56.9064,118.2631,2.39,broken clouds
RU,tiksi,100,98,-12.87,71.6872,128.8694,4.52,overcast clouds
CN,jiuquan,0,41,21.56,39.7432,98.5174,5.44,clear sky
CA,norman wells,75,71,-2.16,65.282,-126.8329,12.66,light snow
JP,wakkanai,100,68,42.06,45.4094,141.6739,5.93,overcast clouds
AU,carnarvon,90,68,69.87,-24.8667,113.6333,14.97,overcast clouds
ID,tambun,100,83,77.04,-6.2641,107.0712,2.75,overcast clouds
IN,harindanga,0,70,67.98,22.0383,88.3214,7.09,clear sky
CA,chapais,100,92,24.58,49.7834,-74.8492,16.4,light snow
HK,victoria,0,88,68.32,22.2855,114.1577,1.01,clear sky
RU,kirillov,100,88,-2.27,59.863,38.3813,6.76,overcast clouds
CN,shishou,100,69,50.2,29.7226,112.419,8.01,overcast clouds
MU,bambous virieux,40,83,78.22,-20.3428,57.7575,11.5,scattered clouds
RU,sobolevo,100,97,28.51,54.4299,31.8996,12.08,snow
BR,carutapera,33,78,80.91,-1.195,-46.02,8.5,scattered clouds
CV,sal rei,72,68,72.16,16.1833,-22.9167,16.91,broken clouds
SB,auki,100,86,80.55,-8.7676,160.7034,4.03,heavy intensity rain
CA,tuktoyaktuk,90,85,-0.4,69.4541,-133.0374,10.36,overcast clouds
JP,shimoda,15,79,46.11,34.6667,138.95,11.59,few clouds
PT,caxias,0,75,58.48,38.7031,-9.2767,1.99,clear sky
CD,lodja,100,92,70.97,-3.4833,23.4333,1.59,light rain
AR,general pico,1,39,87.76,-35.6566,-63.7568,4.59,clear sky
NZ,ahipara,100,94,69.03,-35.1667,173.1667,6.67,light rain
PG,madang,97,89,77.92,-5.2246,145.7966,6.35,moderate rain
TZ,mbekenyera,8,93,70.88,-10,38.9833,4.74,clear sky
IN,bahadurganj,0,41,59.36,26.2667,87.8167,5.5,clear sky
BF,kaya,15,16,77.29,13.0917,-1.0844,8.34,few clouds
RU,cherskiy,41,100,-45.17,68.75,161.3,4.25,scattered clouds
AU,gold coast,23,73,76.37,-28,153.4333,5.99,few clouds
RU,beringovskiy,37,97,-22.79,63.05,179.3167,5.23,scattered clouds
KE,garissa,14,72,78.42,-0.4536,39.6401,11.92,few clouds
ID,loa janan,100,98,73.94,-0.583,117.095,1.45,overcast clouds
RU,srednekolymsk,80,100,-49.47,67.45,153.6833,2.24,broken clouds
DK,assens,93,85,35.49,55.2702,9.9008,5.23,overcast clouds
BR,touros,9,72,81.5,-5.1989,-35.4608,15.32,clear sky
US,meadow lake,0,21,47.57,34.8014,-106.5436,3.47,clear sky
JP,shingu,23,81,50.7,33.7333,135.9833,5.82,few clouds
NO,sorland,100,79,38.34,67.667,12.6934,5.97,overcast clouds
RU,toora-khem,100,99,-6.38,52.4675,96.11,1.63,overcast clouds
GL,aasiaat,100,92,10.2,68.7098,-52.8699,6.42,overcast clouds
CA,goderich,97,75,39.9,43.7501,-81.7165,34.52,overcast clouds
FR,havre,90,100,46.8,49.5833,0.3333,11.5,light intensity drizzle
IT,ascoli piceno,100,89,45.09,42.8548,13.5749,1.99,overcast clouds
AO,uige,100,96,68.7,-7.6087,15.0613,2.01,overcast clouds
TZ,newala,64,93,67.69,-10.9431,39.2787,7.27,broken clouds
NO,berlevag,67,79,28.6,70.8578,29.0864,14.14,broken clouds
US,saint anthony,1,66,31.95,45.0205,-93.218,1.99,snow
RU,yerbogachen,100,98,-9.49,61.2767,108.0108,6.08,light snow
MX,sahuaripa,0,34,74.71,29.05,-109.2333,6.08,clear sky
MV,kulhudhuffushi,91,74,81.21,6.6221,73.07,10.38,overcast clouds
NZ,dunedin,21,50,55.8,-45.8742,170.5036,1.99,few clouds
FI,lapua,100,97,27.28,62.9693,23.0088,6.24,overcast clouds
MG,mahanoro,68,82,75.29,-19.9,48.8,3.09,light rain
GA,port-gentil,20,88,76.96,-0.7193,8.7815,5.75,light rain
ET,gondar,0,19,57.47,12.6,37.4667,6.15,clear sky
OM,salalah,0,33,77.09,17.0151,54.0924,10.36,clear sky
KZ,kuryk,100,68,42.62,43.2,51.65,11.36,overcast clouds
AR,rio gallegos,75,67,55.45,-51.6226,-69.2181,11.5,broken clouds
ZM,solwezi,95,37,74.25,-12.1688,26.3894,1.72,overcast clouds
MM,dawei,3,80,69.1,14.0833,98.2,6.98,clear sky
IN,nagamangala,21,98,64.26,12.8156,76.7575,5.1,few clouds
EC,gualaceo,100,88,65.86,-2.9,-78.7833,4.59,light rain
CN,yongan,5,41,17.4,39.6957,113.6871,6.33,clear sky
CF,zemio,99,39,77.38,5.0314,25.1361,4.09,overcast clouds
MG,beloha,72,66,77.7,-25.1667,45.05,6.55,broken clouds
OM,sur,0,63,69.01,22.5667,59.5289,3.09,clear sky
NO,raudeberg,100,77,40.87,61.9875,5.1352,8.99,overcast clouds
RU,talnakh,86,81,-24.18,69.4865,88.3972,1.88,overcast clouds
CO,san andres,20,79,84.22,12.5847,-81.7006,9.22,few clouds
US,laguna,1,58,59.22,38.421,-121.4238,3,clear sky
TH,uttaradit,0,82,66.24,17.6667,100.5,3.42,clear sky
RU,znamenka,21,64,24.91,52.4167,41.4311,5.73,few clouds
IN,leh,0,47,3.04,34.1667,77.5833,3,clear sky
RU,svetlyy,85,89,30.25,54.675,20.1347,8.68,overcast clouds
US,nome,40,71,-7.53,64.5011,-165.4064,17.27,scattered clouds
GB,margate,100,90,50.97,51.3813,1.3862,5.99,overcast clouds
TZ,kibondo,100,78,65.37,-3.5864,30.7203,2.59,light rain
RE,saint-leu,98,76,74.26,-21.15,55.2833,5.7,overcast clouds
RU,yakovlevka,94,96,24.22,44.425,133.4772,2.77,light snow
CA,haines junction,100,61,8.55,60.7522,-137.5108,8.05,overcast clouds
PE,iquitos,75,74,86.04,-3.7481,-73.2472,1.14,broken clouds
IN,banda,22,56,55.9,25.4833,80.3333,1.92,few clouds
AU,flinders,32,76,64.06,-34.5833,150.8552,11.14,scattered clouds
PT,lagoa,100,85,63.46,39.05,-27.9833,32.37,overcast clouds
TR,yakuplu,0,67,60.15,40.9889,28.6758,5.75,clear sky
US,menomonie,8,59,32.61,44.8755,-91.9193,10.36,clear sky
CN,xiuyan,30,42,23.65,40.2928,123.2744,16.11,scattered clouds
AR,general roca,24,20,81,-39.0333,-67.5833,26.78,few clouds
BR,sao sebastiao,92,84,71.91,-23.76,-45.4097,6.93,overcast clouds
BR,aquiraz,41,78,82.49,-3.9014,-38.3911,13.09,scattered clouds
IE,youghal,100,100,53.1,51.95,-7.8506,17.6,overcast clouds
ZA,richards bay,100,89,76.1,-28.783,32.0377,10.83,overcast clouds
RU,leningradskiy,43,91,-27.38,69.3833,178.4167,7.4,scattered clouds
US,kenai,40,76,13.14,60.5544,-151.2583,13.8,mist
PH,lantawan,93,91,78.49,10.6167,123.9833,4.7,overcast clouds
BR,joao pinheiro,100,65,76.35,-17.7425,-46.1725,5.17,overcast clouds
MX,pochutla,23,55,87.82,15.7432,-96.4661,7.02,few clouds
GW,bubaque,73,74,81.73,11.2833,-15.8333,11.81,broken clouds
BR,arraial do cabo,0,78,78.76,-22.9661,-42.0278,13.8,clear sky
MM,akyab,0,53,70.7,20.15,92.9,9.19,clear sky
RU,okhotsk,100,80,-1.21,59.3833,143.3,13.87,overcast clouds
LK,matara,95,86,76.21,5.9485,80.5353,8.48,overcast clouds
CA,bonavista,69,85,32.11,48.6499,-53.1147,11.43,broken clouds
NG,lagos,99,83,82.72,6.5833,3.75,3.91,overcast clouds
MX,progreso,83,63,91.51,21.2833,-89.6667,16.33,broken clouds
CN,alihe,98,70,6.42,50.5667,123.7167,9.1,overcast clouds
RU,nikolsk,6,69,17.42,53.7189,46.0712,8.72,clear sky
GH,yendi,47,18,82.09,9.4427,-0.0099,1.97,scattered clouds
RU,aykhal,40,100,-36.49,66,111.5,0.74,scattered clouds
CN,aksu,3,76,20.25,41.1231,80.2644,1.1,clear sky
MU,cap malheureux,81,71,78.48,-19.9842,57.6142,8.99,broken clouds
CA,thunder bay,20,59,30.29,48.4001,-89.3168,9.22,few clouds
BE,floreffe,99,94,41.86,50.4347,4.7585,9.89,overcast clouds
CA,torbay,90,93,36.57,47.6666,-52.7314,10.36,light rain
MX,acapulco,20,66,85.82,16.8634,-99.8901,6.91,few clouds
GR,methoni,98,60,59.22,36.8197,21.7049,26.42,overcast clouds
CA,nipawin,90,79,19.44,53.3668,-104.0009,8.05,overcast clouds
PT,ponta delgada,40,88,67.5,37.7333,-25.6667,14.97,scattered clouds
VE,san cristobal,47,77,75.38,7.7669,-72.225,4,scattered clouds
PH,rio tuba,100,83,79.36,8.5061,117.4317,2.66,overcast clouds
BR,passo de camaragibe,27,78,81.95,-9.2368,-35.4901,7.49,scattered clouds
IQ,rawah,0,47,52.7,34.4816,41.9093,3.76,clear sky
PG,samarai,53,76,82.76,-10.6167,150.6667,11.1,broken clouds
AR,tandil,72,61,77.31,-37.3217,-59.1332,1.99,light rain
ID,wonopringgo,100,86,76.93,-6.9833,109.6167,4.36,overcast clouds
IR,ahar,60,58,37.72,38.4774,47.0699,5.35,broken clouds
GA,omboue,100,96,75.16,-1.5746,9.2618,2.62,light rain
RU,aksarka,96,99,-4.94,66.5606,67.7975,3.62,overcast clouds
IR,fereydun kenar,0,84,43.11,36.6864,52.5225,2.77,clear sky
